matrix,category,reordering,L1_misses,L2_misses
kkt_power,Optimization,none,4599751,631835
kkt_power,Optimization,rcm,1071789,538130
kkt_power,Optimization,amd,962651,533728
kkt_power,Optimization,nd,1158671,499917
s3rmt3m3,Small,none,5144,1737
s3rmt3m3,Small,rcm,3078,982
s3rmt3m3,Small,amd,4010,1423
s3rmt3m3,Small,nd,3627,1103
Geo_1438,FEM,none,2363642,897672
Geo_1438,FEM,rcm,1727435,717789
Geo_1438,FEM,amd,1970034,741486
Geo_1438,FEM,nd,1717893,659839
inline_1,FEM,none,1207353,573519
inline_1,FEM,rcm,602578,185571
inline_1,FEM,amd,641920,213655
inline_1,FEM,nd,536199,189553
crystk01,FEM,none,7417,2640
crystk01,FEM,rcm,4794,1750
crystk01,FEM,amd,6646,1896
crystk01,FEM,nd,6470,2060
audikw_1,FEM,none,2446969,1144492
audikw_1,FEM,rcm,1731838,597271
audikw_1,FEM,amd,1939349,639860
audikw_1,FEM,nd,1617819,505434
Hook_1498,FEM,none,1958535,761771
Hook_1498,FEM,rcm,1769529,655187
Hook_1498,FEM,amd,1827485,693594
Hook_1498,FEM,nd,1621976,611045
Flan_1565,FEM,none,1346206,712020
Flan_1565,FEM,rcm,1408853,792265
Flan_1565,FEM,amd,2573475,874373
Flan_1565,FEM,nd,1896576,689631
nv2,Circuit,none,47712379,22893475
nv2,Circuit,rcm,2037605,760518
nv2,Circuit,amd,1988879,532563
nv2,Circuit,nd,1461442,403505
circuit5M,Circuit,none,4105540,1551655
circuit5M,Circuit,rcm,2439248,1385045
circuit5M,Circuit,amd,4289992,1325496
circuit5M,Circuit,nd,8971450,3555291
G3_circuit,Circuit,none,488058,215426
G3_circuit,Circuit,rcm,184234,87880
G3_circuit,Circuit,amd,398717,168118
G3_circuit,Circuit,nd,371940,158239
dgreen,Circuit,none,26453701,2877192
dgreen,Circuit,rcm,1546762,532420
dgreen,Circuit,amd,1378095,393040
dgreen,Circuit,nd,1039657,324446
atmosmodd,CFD,none,56584,74089
atmosmodd,CFD,rcm,36863,66021
atmosmodd,CFD,amd,601958,232553
atmosmodd,CFD,nd,553429,210463
thermal2,CFD,none,1717066,390855
thermal2,CFD,rcm,126956,55394
thermal2,CFD,amd,366446,158266
thermal2,CFD,nd,342881,158553
