matrix,category,reordering,DTLB_misses
kkt_power,Optimization,none,1655
kkt_power,Optimization,rcm,886
kkt_power,Optimization,amd,879
kkt_power,Optimization,nd,920
s3rmt3m3,Small,none,389
s3rmt3m3,Small,rcm,5
s3rmt3m3,Small,amd,2
s3rmt3m3,Small,nd,3
Geo_1438,FEM,none,1991
Geo_1438,FEM,rcm,1080
Geo_1438,FEM,amd,1088
Geo_1438,FEM,nd,1484
inline_1,FEM,none,1057
inline_1,FEM,rcm,1073
inline_1,FEM,amd,1074
inline_1,FEM,nd,1522
crystk01,FEM,none,691
crystk01,FEM,rcm,10
crystk01,FEM,amd,6
crystk01,FEM,nd,2
audikw_1,FEM,none,1306
audikw_1,FEM,rcm,1133
audikw_1,FEM,amd,1643
audikw_1,FEM,nd,1667
Hook_1498,FEM,none,1071
Hook_1498,FEM,rcm,1175
Hook_1498,FEM,amd,1655
Hook_1498,FEM,nd,1149
Flan_1565,FEM,none,13663
Flan_1565,FEM,rcm,2087
Flan_1565,FEM,amd,25892
Flan_1565,FEM,nd,32740
nv2,Circuit,none,1587
nv2,Circuit,rcm,682
nv2,Circuit,amd,1640
nv2,Circuit,nd,1201
circuit5M,Circuit,none,3042
circuit5M,Circuit,rcm,1179
circuit5M,Circuit,amd,2105
circuit5M,Circuit,nd,1635
G3_circuit,Circuit,none,985
G3_circuit,Circuit,rcm,678
G3_circuit,Circuit,amd,161
G3_circuit,Circuit,nd,160
dgreen,Circuit,none,1290
dgreen,Circuit,rcm,1734
dgreen,Circuit,amd,1226
dgreen,Circuit,nd,1220
atmosmodd,CFD,none,1262
atmosmodd,CFD,rcm,376
atmosmodd,CFD,amd,354
atmosmodd,CFD,nd,1815
thermal2,CFD,none,1418
thermal2,CFD,rcm,428
thermal2,CFD,amd,591
thermal2,CFD,nd,1131
