matrix,category,reordering,dtlb_load_misses,itlb_load_misses
inline_1,FEM,none,1267,29
inline_1,FEM,rcm,611,17
inline_1,FEM,amd,981,19
inline_1,FEM,nd,972,18
Flan_1565,FEM,none,10287,52
Flan_1565,FEM,rcm,11301,148
Flan_1565,FEM,amd,27389,51
Flan_1565,FEM,nd,14036,39
Hook_1498,FEM,none,639,35
Hook_1498,FEM,rcm,850,29
Hook_1498,FEM,amd,4037,36
Hook_1498,FEM,nd,3446,30
audikw_1,FEM,none,5264,43
audikw_1,FEM,rcm,1409,28
audikw_1,FEM,amd,2327,20
audikw_1,FEM,nd,7492,46
F1,FEM,none,437,28
F1,FEM,rcm,437,16
F1,FEM,amd,584,17
F1,FEM,nd,560,15
consph,FEM,none,153,19
consph,FEM,rcm,94,15
consph,FEM,amd,186,5
consph,FEM,nd,202,15
ldoor,FEM,none,109,28
ldoor,FEM,rcm,206,26
ldoor,FEM,amd,550,26
ldoor,FEM,nd,522,20
pwtk,FEM,none,100,20
pwtk,FEM,rcm,30,11
pwtk,FEM,amd,236,16
pwtk,FEM,nd,198,18
bmw7st_1,FEM,none,75,13
bmw7st_1,FEM,rcm,39,8
bmw7st_1,FEM,amd,274,12
bmw7st_1,FEM,nd,94,2
thermal2,CFD,none,1716,23
thermal2,CFD,rcm,852,25
thermal2,CFD,amd,1373,20
thermal2,CFD,nd,1274,20
atmosmodd,CFD,none,35,12
atmosmodd,CFD,rcm,56,11
atmosmodd,CFD,amd,264,11
atmosmodd,CFD,nd,351,12
rma10,CFD,none,69,5
rma10,CFD,rcm,100,8
rma10,CFD,amd,61,4
rma10,CFD,nd,81,7
kkt_power,Optimization,none,338,24
kkt_power,Optimization,rcm,188,15
kkt_power,Optimization,amd,531,13
kkt_power,Optimization,nd,527,20
nlpkkt120,Optimization,none,165,27
nlpkkt120,Optimization,rcm,56,12
nlpkkt120,Optimization,amd,16819,27
nlpkkt120,Optimization,nd,29366,191
mip1,Optimization,none,31,17
mip1,Optimization,rcm,93,14
mip1,Optimization,amd,58,11
mip1,Optimization,nd,44,8
largebasis,Optimization,none,36,17
largebasis,Optimization,rcm,16,6
largebasis,Optimization,amd,11,6
largebasis,Optimization,nd,421,13
gupta2,Optimization,none,22,12
gupta2,Optimization,rcm,60,15
gupta2,Optimization,amd,62,10
gupta2,Optimization,nd,33,10
nv2,Circuit,none,8046,59
nv2,Circuit,rcm,1432,39
nv2,Circuit,amd,4365,34
nv2,Circuit,nd,3361,36
G3_circuit,Circuit,none,311,20
G3_circuit,Circuit,rcm,143,15
G3_circuit,Circuit,amd,1173,22
G3_circuit,Circuit,nd,1104,20
dgreen,Circuit,none,5980,35
dgreen,Circuit,rcm,1573,24
dgreen,Circuit,amd,3262,21
dgreen,Circuit,nd,2652,26
circuit5M,Circuit,none,22,22
circuit5M,Circuit,rcm,223,22
circuit5M,Circuit,amd,533,26
circuit5M,Circuit,nd,1023,27
ASIC_680k,Circuit,none,253,13
ASIC_680k,Circuit,rcm,322,13
ASIC_680k,Circuit,amd,699,10
ASIC_680k,Circuit,nd,545,14
